movie_ID,movie_title
tt0195063,Meu Pé de Laranja Lima
tt0122329,Éxtasis tropical
tt0062690,O Ritual dos Sádicos
tt0064863,Quelé do Pajeú
tt0064582,O Leão de Sete Cabeças
tt0189887,O Palácio dos Anjos
tt0260354,"Sem Essa, Aranha"
tt0065631,Os Deuses e os Mortos
tt0259944,Copacabana Mon Amour
tt0196746,Memórias de um Gigolô
tt0261761,"Jesus Cristo, Eu Estou Aqui"
tt0184215,Anjos e Demônios
tt0159294,O Bolão
tt0200942,Pais Quadrados... Filhos Avançados
tt0240374,Beto Rockfeller
tt0181949,A Família do Barulho
tt0236165,O Donzelo
tt0065430,Azyllo Muito Louco
tt0191384,"Pára, Pedro!"
tt0239306,Cleo e Daniel
tt0314817,"Um é Pouco, Dois é Bom"
tt0189762,A Moreninha
tt0159805,"Um Uísque Antes, Um Cigarro Depois"
tt0144890,Elas
tt0182024,"Cuidado, Madame"
tt0181973,"Barão Olavo, o Horrível"
tt0122235,Salário Mínimo
tt0186448,Pindorama
tt0201775,Minha Namorada
tt0184884,Se Meu Dólar Falasse
tt0197427,Em Busca do Su$exo
tt0145483,Sou Louca por Você
tt0181551,As Gatinhas
tt0178481,"Gamal, O Delírio do Sexo"
tt0287616,Orgia ou O Homem Que Deu Cria
tt0182734,A Arte de Amar Bem
tt0065831,A Herança
tt0195206,Quatro Contra o Mundo
tt0187268,Os maridos Traem... E as Mulheres Subtraem
tt0201078,Os Senhores da Terra
tt0193662,Marcelo Zona Sul
tt0139374,A Ilha dos Paqueras
tt0197257,Audácia
tt0182081,Estranho triângulo
tt0329353,Marcado Para o Perigo
tt0236020,Betão Ronca Ferro
tt0270865,Brasil Bom de Bola
tt0188131,Pecado Mortal
tt0241937,Sertão em Festa
tt0196826,Parafernália o Dia de Caça
tt0198360,A Casa Assassinada
tt0066936,Como Era Gostoso o Meu Francês
tt0187358,Noites de Iemanjá
tt0067099,Finis Hominis - O Fim do Homem
tt0201573,O Doce Esporte do Sexo
tt0201450,Bang Bang
tt0066747,Aventuras com Tio Maneco
tt0240607,Idílio Proibido
tt0201156,Soninha Toda Pura
tt0181307,O Barão Otelo no Barato dos Bilhões
tt0190549,Mangue Bangue
tt0183427,Lua-de-Mel e Amendoim
tt0191605,Uma Verdadeira História de Amor
tt0185975,Capitão Bandeira Contra o Dr. Moura Brasil
tt0187434,Quando as Mulheres Paqueram
tt0261225,O Rei dos Milagres
tt0247313,Em Família
tt0264611,Faustão
tt0196334,"André, a Cara e a Coragem"
tt0256467,Um Pistoleiro Chamado Caviúna
tt0067210,O Homem Lobo
tt0125035,Caxambu!
tt0260507,A Vida de Jesus Cristo
tt0200943,Paixão Na Praia
tt0200446,As Quatro Chaves Mágicas
tt0182314,Memórias de um Estrangulador de Loiras
tt0067362,"Lúcia McCartney, Uma Garota de Programa"
tt0261162,O País de São Saruê
tt0071144,Um Anjo Mau
tt0184225,As Confissões de Frei Abóbora
tt0271161,Sangue em Santa Maria
tt0188157,"Pra Quem Fica, Tchau"
tt0241371,Diabólicos Herdeiros
tt0256720,Os Devassos
tt0200542,Como Ganhar na Loteria sem Perder a Esportiva
tt0189781,Mãos Vazias
tt0254060,Roberto Carlos a 300 Quilômetros por Hora
tt0199643,Jardim de Espumas
tt0186649,Um Certo Capitão Rodrigo
tt0067006,Dois Perdidos numa Noite Suja
tt0442491,Som Alucinante
tt0241768,No Rancho Fundo
tt0193070,"Cordélia, Cordélia"
tt0442314,Lista Negra Para Black Medal
tt0145116,Nenê Bandalho
tt0184975,Uma Pantera em Minha Cama
tt0240339,Ana Terra
tt0423115,O Salário da Morte
tt0328851,Até o Último Mercenário
tt0261246,Romualdo e Juliana
tt0189477,As Deusas
tt0185714,São Bernardo
tt0191458,Sinal Vermelho - As Fêmeas
tt0188044,Os Machões
tt0067640,Quando os Deuses Adormecem
tt0196756,Missão: Matar
tt0068333,Câncer
tt0184610,Independência ou Morte
tt0236266,O Grande Xerife
tt0186471,Quando o Carnaval Chegar
tt0068739,Os Inconfidentes
tt0178966,Vera Cruz
tt0186998,"Eu Transo, Ela Transa"
tt0201316,A Viúva Virgem
tt0068779,A Faca e o Rio
tt0194741,"Cassy Jones, o Magnífico Sedutor"
tt0159708,Roleta Russa
tt0260359,Sexo E Sangue na Trilha do Tesouro
tt0210963,Saravah
tt0187089,O Grande Gozador
tt0259972,D'Gajão Mata para Vingar
tt0233939,A Infidelidade ao Alcance de Todos
tt0325235,O Demiurgo
tt0184624,"Jesuíno Brilhante, o Cangaceiro"
tt0269947,Teixeirinha a 7 provas
tt0240448,Os Desclassificados
tt0139008,Ali Babá e os Quarenta Ladrões
tt0260210,As Mulheres Amam por Conveniência
tt0235980,O Anjo Negro
tt0198302,"Amor, Carnaval e Sonhos"
tt0069476,Vozes do Medo
tt0069117,Prata Palomares
tt0198717,A Marcha
tt0240629,Janaina - A Virgem Proibida
tt0197376,Corrida em Busca do Amor
tt0422853,Nua E Atrevida
tt0196504,A Difícil Vida Fácil
tt0422904,Paixão de Um Homem
tt0423390,Tormento
tt0186648,Um Amor de Mulher
tt0424201,O Jogo da Vida e da Morte
tt0329522,Pânico no Império do Crime
tt0184581,Os Mansos
tt0260939,"Gringo, o Matador Erótico"
tt0318311,"Arquitetura, A Transformação do Espaço"
tt0066853,Na Boca da Noite
tt0424242,Longo Caminho da Morte
tt0382270,Rogo a Deus e Mando Bala
tt0424039,Os Desempregados
tt0260815,Com a Cama na Cabeça
tt0069389,Toda Nudez Será Castigada
tt0140584,A Super Fêmea
tt0437269,O Judoka
tt0241471,Os garotos Virgens de Ipanema
tt0203303,Anjo Loiro
tt0260851,Desejo Proibido
tt0186256,Joanna Francesa
tt0143972,Vai Trabalhar Vagabundo
tt0191604,Um Caipira em Bariloche
tt0260201,As Moças Daquela Hora
tt0190168,O Último Êxtase
tt0191316,A Noite do Desejo
tt0196422,Café na Cama
tt0072014,Portugal... Minha Saudade
tt0204383,Os homens Que Eu Tive
tt0186927,Como É Boa Nossa Empregada
tt0187565,Uma Negra Chamada Tereza
tt0300256,O Negrinho do Pastoreio
tt0230952,A Virgem
tt0140601,Tati
tt0296801,Piconzé
tt0261309,Sob o Domínio do Sexo
tt0239630,"Mestiça, a Escrava Indomável"
tt0256455,Trindade... é Meu Nome
tt0201053,Salve-se Quem Puder
tt0185737,"Uirá, Um Índio em Busca de Deus"
tt0190662,Os primeiros Momentos
tt0159406,O Descarte
tt0424040,O Detetive Bolacha Contra o Gênio do Crime
tt0192968,Amante Muito Louca
tt0199944,O Pica-pau Amarelo
tt0184321,Caingangue
tt0182750,O Azarento
tt0187841,O Fabuloso Fittipaldi
tt0200419,Aladim e a Lâmpada Maravilhosa
tt0241013,Um Virgem na Praça
tt0240714,Maria... Sempre Maria
tt0189654,O Libertino
tt0424347,"Pedro Canhoto, o Vingador Erótico"
tt0241787,Obsessão Maldita
tt0242092,Um Edifício Chamado 200
tt0201812,Obsessão
tt0187840,Êxtase de Sádicos
tt0259968,As Depravadas
tt0296671,O Homem do Corpo Fechado
tt0268237,Como Evitar o Desquite
tt0423999,Como Nos Livrar do Saco
tt0437524,Um Intruso no Paraíso
tt0331664,Surucucu Catiripapo
tt0261038,Mais ou Menos Virgem
tt0259912,As Cangaceiras Eróticas
tt0073082,Guerra Conjugal
tt0189039,A Rainha Diaba
tt0071479,Exorcismo Negro
tt0186996,Essa Gostosa Brincadeira a Dois
tt0189359,O Anjo da Noite
tt0203821,Pureza Proibida
tt0254804,O Supermanso
tt0191265,O Marginal
tt0191637,A Virgem e o Machão
tt0191209,O Jeca Macumbeiro
tt0200417,Ainda Agarro Esta Vizinha...
tt0241313,O Clube das Infiéis
tt0184246,Banana Mecânica
tt0071137,O Amuleto de Ogum
tt0279245,As Mulheres Sempre Querem Mais
tt0250194,"Adultério, as Regras do Jogo"
tt0192561,"Sagarana, o Duelo"
tt0182879,Caçada Sangrenta
tt0184902,O Signo de Escorpião
tt0241360,As Delícias da Vida
tt0260008,"Essas Mulheres Lindas, Nuas e Maravilhosas"
tt0250557,Macho e Fêmea
tt0256593,As Alegres Vigaristas
tt0191386,Sedução
tt0260895,O Exorcista de Mulheres
tt0443215,Sadismo de Um Matador
tt0438257,As Mulheres Que Fazem Diferente
tt0159580,Motel
tt0071921,A Noite do Espantalho
tt0443024,Gregório Volta Para Matar
tt0176745,Gente que Transa
tt0274727,O Poderoso Garanhão
tt20221906,O Desconhecido
tt0179170,A Estrela Sobe
tt0188004,Isto É Pelé
tt0400635,O Marido Virgem
tt0196810,Oh Que Delícia de Patrão
tt0159614,Onanias o Poderoso Machão
tt0259829,70 Anos de Brasil
tt0443265,Travessuras de Pedro Malasartes
tt0437169,E Ninguém Ficou em Pé
tt0288268,Triste Trópico
tt0240799,Pensionato de Mulheres
tt0236689,"Robin Hood, O Trapalhão da Floresta"
tt0241938,O Sexo das Bonecas
tt0179824,Getúlio Vargas
tt0261188,Pontal da Solidão
tt0186859,Um Varão Entre as Mulheres
tt0183622,"Ovelha Negra, Uma Despedida de Solteiro"
tt0260937,O Grande Rodeio
tt0126968,Iracema - Uma Transa Amazônica
tt0145049,Lição de Amor
tt0073246,O Rei da Noite
tt0235971,Amadas e Violentadas
tt0230455,O Leito da Mulher Amada
tt0239489,Intimidade
tt0189476,O Desejo
tt0260904,A filha do padre
tt0196693,A Lenda de Ubirajara
tt0191030,O Caçador de Fantasma
tt0272577,"Deixa, Amorzinho... Deixa"
tt0236322,A Ilha do Desejo
tt0185978,O Casamento
tt0203304,"Lucíola, o Anjo Pecador"
tt0260781,A Carne
tt0241645,Kung Fu Contra as Bonecas
tt0203487,A Extorsão
tt0272050,Com Um Grilo na Cama
tt0190292,O Casal
tt0184869,O Roubo das Calcinhas
tt0182875,A Casa das Tentações
tt0159372,Costinha o Rei da Selva
tt0241420,O Esquadrão da Morte
tt0255815,As Aventuras Amorosas de Um Padeiro
tt0184447,Eu Dou O Que Ela Gosta
tt0201533,Os Condenados
tt0250724,O Sexo Mora ao Lado
tt0191208,O Jeca Contra o Capeta
tt0176587,Cada um Dá o que Tem
tt0184440,Enigma para Demônios
tt0071757,Lilian M.: Relatório Confidencial
tt0444948,À Sombra da Violência
tt0437687,"Zé Sexy... Louco, Muito Louco Por Mulher"
tt0260816,Com as Calças na Mão
tt0188168,Quem Tem Medo de Lobisomem?
tt0254723,Quando Elas Querem... e Eles Não
tt0275428,"Ipanema, Adeus"
tt0440699,O Padre Que Queria Pecar
tt0184758,A Mulher do Desejo
tt0193309,As Deliciosas Traições do Amor
tt0258066,Quando as Mulheres Querem Provas
tt0440397,O Fraco do Sexo Forte
tt0190982,Assim Era a Atlântida
tt0240474,Efigênia Dá Tudo Que Tem
tt0242095,Uma Mulata Para Todos
tt0273424,"Amantes, Amanhã Se Houver Sol"
tt0201269,O Trapalhão na Ilha do Tesouro
tt0272838,O Sexualista
tt0181760,Pecado na Sacristia
tt0077452,Dona Flor e Seus Dois Maridos
tt0260893,Excitação
tt0191200,Incesto
tt0074499,A Estranha Hospedaria dos Prazeres
tt0078512,Xica da Silva
tt0186250,Já Não Se Faz Amor Como Antigamente
tt0260089,A Ilha das Cangaceiras Virgens
tt0236627,Possuidas Pelo Pecado
tt0139822,"Aleluia, Gretchen"
tt0272554,Como Consolar Viúvas
tt0241216,Bacalhau
tt0279354,Quem é o Pai da Criança?
tt0191315,A Noite das Fêmeas
tt0186389,Ninguém Segura Essas Mulheres
tt0261055,As Massagistas Profissionais
tt0279247,As Mulheres do Sexo Violento
tt0139656,O Trapalhão no Planalto dos Macacos
tt0240416,Chão Bruto
tt0184814,Perdida
tt0260177,O Menino da Porteira
tt0241940,O Sexomaníaco
tt0198390,Crueldade Mortal
tt0261361,Torturadas Pelo Sexo
tt0272238,Pesadelo Sexual de Um Virgem
tt0186438,Paranóia
tt0074677,Encarnação
tt0260357,Sete Mulheres Para Um Homem Só
tt0241716,As Meninas Querem... Os Coroas Podem
tt0181590,O Ibraim do Subúrbio
tt0261364,Traídas Pelo Desejo
tt0191298,O Mulherengo
tt0279349,"Pura Como Um Anjo, Será... Virgem?"
tt0243284,As Granfinas e o Camelô
tt0240491,Eu Faço... Elas Sentem
tt0442223,Feminino Plural
tt0187855,O Flagrante
tt0321377,Bandalheira Infernal
tt0272581,O Dia das Profissionais
tt0443992,Desejo Sangrento
tt0260378,Socorro! Eu Não Quero Morrer Virgem
tt0442191,E As Pílulas Falharam
tt0274927,"Tangarela, a Tanga de Cristal"
tt0159804,Um Brasileiro Chamado Rosaflor
tt0272051,Confissões de Uma Viúva Moça
tt0191385,A Quadrilha do Perna Dura
tt0241935,Senhora
tt0272797,O Quarto da Viúva
tt0272916,O Varão de Ipanema
tt0261714,Gordos e Magros
tt0254367,Guerra é Guerra
tt0241967,"Snuff, Vítimas do Prazer"
tt0241848,Presídio de Mulheres Violentadas
tt0077878,"Lúcio Flávio, o Passageiro da Agonia"
tt0074683,Inferno Carnal
tt0241418,Escola Penal de Meninas Violentadas
tt0260857,Dezenove Mulheres e Um Homem
tt0261112,Noite em Chamas
tt0080004,Tenda dos Milagres
tt0140016,Elas São do Baralho
tt0177424,A Árvore dos Sexos
tt0186158,Gente Fina É Outra Coisa
tt0201421,Os Amores da Pantera
tt0259998,Emanuelle Tropical
tt0247989,Os Doces Bárbaros
tt0187187,O Jogo da Vida
tt0139655,O Trapalhão nas Minas do Rei Salomão
tt0136690,O Abismo
tt0241574,Internato de Meninas Virgens
tt0260690,As Amantes de Um Canalha
tt0279246,Mulheres Violentadas
tt0241366,Deu a Louca nas Mulheres
tt0308133,Costinha e o King Mong
tt0233065,Jecão... Um Fofoqueiro no Céu
tt0278021,Secas e Molhadas
tt0189886,Paixão e Sombras
tt0274022,Quem Matou Pacífico?
tt0186008,O Crime do Zé Bigorna
tt0187710,Barra Pesada
tt0444889,Pensionato das Vigaristas
tt0260356,Será Que Ela Agüenta?
tt0437203,Garimpeiras do Sexo
tt0443282,A Virgem da Colina
tt0296495,"Ajuricaba, o Rebelde da Amazônia"
tt0261457,Ódio
tt0188522,Cordão De Ouro
tt0242039,"Tiradentes, O Mártir da Independência"
tt0191003,Belas e Corrompidas
tt0443273,O Vampiro da Cinemateca
tt0269592,Na Trilha da Justiça
tt0443006,Fuga das Mulheres Desesperadas
tt0187324,A Mulata Que Queria Pecar
tt0257243,Um Marido Contagiante
tt0275325,Empregada Para Todo o Serviço
tt0444356,O Poder do Desejo
tt0241867,Que Estranha Forma de Amar
tt0260213,Mágoa de Boiadeiro
tt0137283,À Flor da Pele
tt0424334,Ouro Sangrento
tt0441980,Antônio Conselheiro e a Guerra dos Pelados
tt0279398,O Segredo das Massagistas
tt0077393,A Dama do Lotação
tt0078845,O Bem Dotado - O Homem de Itu
tt0189950,O Prisioneiro do Sexo
tt0236215,As Filhas do Fogo
tt0261088,Na Violência do Sexo
tt0186394,Nos Embalos de Ipanema
tt0233972,O Jeca e Seu Filho Preto
tt0241172,Amada Amante
tt0077420,Delírios de um Anormal
tt0260911,A Força dos Sentidos
tt0075112,A Queda
tt0261346,Tem Piranha no Garimpo
tt0260708,O Artesão de Mulheres
tt0144783,Batalha dos Guararapes
tt0261042,Manicures a Domicílio
tt0286061,Seduzidas Pelo Demônio
tt0261107,Ninfas Diabólicas
tt0185733,Tudo Bem
tt0331057,O Vigilante Rodoviário
tt0323575,Parada 88 - O Limite de Alerta
tt0279373,"Roberta, a Gueixa do Sexo"
tt0201809,A Noiva da Cidade
tt0261087,Na Boca do Mundo
tt0261342,As Taradas Atacam
tt0278914,As Amantes de Um Homem Proibido
tt0179964,Mar de Rosas
tt0195360,Os Trapalhões na Guerra dos Planetas
tt0241350,Damas do Prazer
tt0241177,O Amante de Minha Mulher
tt0441311,O Homem de Seis Milhões de Cruzeiros Contra as Panteras
tt0250689,Reformatório das Depravadas
tt0278698,Seu Florindo e Suas Duas Mulheres
tt0273574,O Estripador de Mulheres
tt0260175,Os melhores Momentos da Pornochanchada
tt0204298,Embalos Alucinantes: A Troca de Casais
tt0375794,O Gênio do Sexo
tt0443994,A Deusa de Mármore
tt0444833,Os Galhos do Casamento
tt0260715,As Aventuras de Robinson Crusoé
tt0143862,"Se Segura, Malandro!"
tt0256786,O Grande Desbum...
tt0256619,Assim Era a Pornochanchada
tt0080534,Chuvas de Verão
tt0273993,A Praia do Pecado
tt0279399,Os Sensuais - Crônica de Uma Família Pequeno-Burguesa
tt0256027,Fim de Festa
tt0074804,A Lira do Delírio
tt0443938,Chapéu de Couro
tt0077460,Doramundo
tt0194774,O Cortiço
tt0197573,A Ilha dos Prazeres Proibidos
tt0136197,Filmando 'Bye bye Brasil'
tt0256946,"Mulher, Mulher"
tt0225944,Histórias Que Nossas Babás Não Contavam
tt0184619,"Iracema, a Virgem dos Lábios de Mel"
tt0249073,A Pantera Nua
tt0250319,A Dama da Zona
tt0078768,Amor Bandido
tt0275320,E Agora José? - Tortura do Sexo
tt0077517,Estupro
tt0257013,O Princípio do Prazer
tt0137418,O Caso Cláudia
tt0241159,Adultério por Amor
tt0198304,"Anchieta, José do Brasil"
tt0233419,O Caçador de Esmeraldas
tt0254311,Essas Deliciosas Mulheres
tt0237330,Os Imorais
tt0248052,"Gugu, O Bom de Cama"
tt0191169,O Guarani
tt0186071,Eu Matei Lúcio Flávio
tt0084146,A Intrusa
tt0279122,Herança dos Devassos
tt0200429,Amante Latino
tt0200499,As Borboletas Também Amam
tt0261056,O Matador Sexual
tt0279338,Por Um Corpo de Mulher
tt0261341,Tara - Prazeres Proibidos
tt0159246,Amor e Traição
tt0261198,O Preço do Prazer
tt0241682,"Loucuras, o Bumbum de Ouro"
tt0236010,A Banda das Velhas Virgens
tt0260734,Belinda dos Orixás na Praia dos Desejos
tt0139475,Muito Prazer
tt0186611,Terror e Êxtase
tt0077959,Mundo-mercado do Sexo
tt0261373,Uma Estranha História de Amor
tt0259725,A Virgem Camuflada
tt0076679,Sede de Amar
tt0188173,República dos Assassinos
tt0242015,Sábado Alucinante
tt0261044,Maníacos por Meninas Virgens
tt0261269,Samba da Criação do Mundo
tt0139119,O Cinderelo Trapalhão
tt0261459,O Último Cão de Guerra
tt0215669,O Coronel e o Lobisomem
tt0257556,Domingo de Gre-Nal
tt0442955,A Dama do Sexo
tt0260725,"Bandido, Fúria do Sexo"
tt0260761,Bonitas e Gostosas
tt0443280,A Vingança de Chico Mineiro
tt0082912,Pixote: A Lei do Mais Fraco
tt0140543,Os Sete Gatinhos
tt0241196,Ariella
tt0250640,Palácio de Vênus
tt0080910,A Idade da Terra
tt0189443,Convite ao Prazer
tt0250621,A Noite das Taras I
tt0241495,O Gosto do Pecado
tt0085596,Giselle
tt0261082,A Mulher Que Inventou o Amor
tt0144838,Contos Eróticos
tt0274444,Corpo Devasso
tt0191201,O Inseto do Amor
tt0407789,A Filha de Emmanuelle
tt0438937,Orgia das Taras
tt0140453,Perdoa-me Por Me Traíres
tt0241217,Bacanal
tt0332150,As Intimidades de Analu e Fernanda
tt0278985,O Bordel - Noites Proibidas
tt0241361,Delícias do Sexo
tt0443122,Meu Primeiro Amante
tt0178585,O Homem que Virou Suco
tt0261360,Tortura Cruel
tt0240635,Joelma 23º Andar
tt0132989,Gaijin - Os Caminhos da Liberdade
tt0260912,O Fotógrafo
tt0241855,Prova de Fogo
tt0442512,Sócias do Prazer
tt0279457,Tara das Cocotas na Ilha do Pecado
tt0456377,O Doador Sexual
tt0081214,Na Estrada da Vida
tt0080386,Asa Branca: Um Sonho Brasileiro
tt0186637,Os Trombadinhas
tt0437961,Depravação
tt0254634,Orgia das Libertinas
tt0279274,Noite de Orgia
tt0456474,Império das Taras
tt0241878,Os Rapazes da Difícil Vida Fácil
tt12920986,O Lago Maldito
tt0279024,Colegiais e Lições de Sexo
tt0241568,Os Indecentes
tt0256500,A Virgem e o Bem-Dotado
tt0279424,Sofia e Anita - Deliciosamente Impuras
tt0163569,Cabaret Mineiro
tt0081305,Parceiros da Aventura
tt0456702,Tudo Acontece em Copacabana
tt0279015,Chapeuzinho Vermelho
tt0260099,Insônia
tt0256701,Consórcio de Intrigas
tt0445578,"Motel, Refúgio do Amor"
tt0197577,O Império do Desejo
tt0082343,Eu Te Amo
tt0177016,Mulher Objeto
tt0140028,"Eros, O Deus do Amor"
tt0184195,Álbum de Família
tt0082317,Eles Não Usam Black-Tie
tt0261189,Pornô!
tt0457872,Duas Estranhas Mulheres
tt0241939,"Sexo, Sua Única Arma"
tt0204030,Violência na Carne
tt0241740,Mulheres... Mulheres
tt0088784,Beijo no Asfalto
tt0183044,Engraçadinha
tt0250392,A Fêmea do Mar
tt0191273,Me Deixa de Quatro
tt0132891,"Bonitinha, mas Ordinária"
tt0260705,"Aqui, Tarados!"
tt0442474,Sexo Profundo
tt0191317,A Noite dos Bacanais
tt0457949,A Ilha do Amor
tt0426010,A Gostosa da Gafieira
tt0441267,Aberrações de uma Prostituta
tt0194640,Abrigo Nuclear
tt0260821,Condenada Por Um Desejo
tt0138073,Os Saltimbancos Trapalhões
tt0275346,A Filha de Calígula
tt0186377,A Mulher Sensual
tt0279506,Volúpia ao Prazer
tt0260847,Delírios Eróticos
tt0197751,O Paraíso Proibido
tt0241844,Prazeres Permitidos
tt0241672,"Liliam, a Suja"
tt0442276,A Insaciável - Tormentos da Carne
tt0457909,Fruto do Amor
tt0241180,Anarquia Sexual
tt0451671,A Cafetina de Meninas Virgens
tt0422472,Os Insaciados
tt0458107,Sexo E Violência no Vale do Inferno
